3.218958435e+02,6.632836303e-04
3.220021362e+02,-1.230670896e-04
3.221084595e+02,2.413393522e-04
3.222147827e+02,-6.552923151e-05
3.223211060e+02,1.852399437e-03
3.224274292e+02,-4.491149448e-04
3.225337524e+02,9.893315146e-04
3.226401062e+02,3.372357751e-04
3.227464600e+02,3.564150829e-04
3.228527832e+02,1.104407245e-03
3.229591370e+02,1.262636360e-04
3.230655212e+02,1.070843500e-04
3.231719055e+02,1.449634437e-03
3.232782898e+02,-9.669556748e-04
3.233846741e+02,1.070843500e-04
3.234910889e+02,2.029807802e-04
3.235974731e+02,2.715467243e-03
3.237038574e+02,1.238662284e-03
3.238103027e+02,2.830543090e-03
3.239167175e+02,2.413393522e-04
3.240231628e+02,6.824629381e-04
3.241296082e+02,-1.350541366e-03
3.242360535e+02,1.838015014e-04
3.243424988e+02,-3.532185219e-04
3.244489746e+02,8.790506399e-05
3.245554504e+02,5.290286499e-04
3.246618958e+02,1.353738015e-03
3.247684021e+02,7.016422460e-04
3.248748779e+02,-8.470851753e-05
3.249813843e+02,-3.532185219e-04
3.250878906e+02,6.824629381e-04
3.251944275e+02,4.331322270e-04
3.253009338e+02,8.358972264e-04
3.254074707e+02,-8.470851753e-05
3.255140076e+02,-1.422463683e-04
3.256205139e+02,-1.177927828e-03
3.257270813e+02,1.487992937e-03
3.258336487e+02,-1.997842337e-04
3.259402161e+02,8.358972264e-04
3.260467834e+02,-4.107563873e-04
3.261533508e+02,8.742557839e-04
3.262599487e+02,7.975386688e-04
3.263665466e+02,-6.025492330e-04
3.264731140e+02,-1.614256616e-04
3.265797119e+02,2.029807802e-04
3.266863403e+02,6.057458231e-04
3.267929688e+02,7.208214956e-04
3.268995972e+02,-1.422463683e-04
3.270062256e+02,1.123586553e-03
3.271128845e+02,3.372357751e-04
3.272195435e+02,-1.997842337e-04
3.273262024e+02,1.838015014e-04
3.274328308e+02,4.331322270e-04
3.275395203e+02,-2.189635125e-04
3.276461792e+02,2.600391628e-03
3.277528687e+02,-3.148599644e-04
3.278595886e+02,5.673872074e-04
3.279662781e+02,6.824629381e-04
3.280729980e+02,-9.477764252e-04
3.281797180e+02,6.057458231e-04
3.282864380e+02,6.824629381e-04
3.283931274e+02,9.893315146e-04
3.284998779e+02,-1.235465752e-03
3.286066284e+02,7.208214956e-04
3.287133789e+02,3.180564963e-04
3.288201294e+02,1.646222081e-04
3.289269104e+02,1.066048630e-03
3.290336914e+02,9.126143996e-04
3.291404724e+02,1.161945052e-03
3.292472534e+02,1.411275822e-03
3.293540039e+02,5.098493421e-04
3.294608154e+02,5.865665153e-04
3.295676270e+02,5.865665153e-04
3.296744385e+02,6.872577796e-05
3.297812805e+02,7.400008035e-04
3.298880920e+02,5.673872074e-04
3.299949341e+02,1.583889360e-03
3.301017761e+02,1.027690130e-03
3.302086487e+02,8.167179185e-04
3.303154602e+02,4.331322270e-04
3.304223328e+02,8.550765342e-04
3.305292053e+02,3.372357751e-04
3.306360779e+02,-1.038878036e-04
3.307429810e+02,8.358972264e-04
3.308498840e+02,6.249250728e-04
3.309567871e+02,7.591801113e-04
3.310636902e+02,5.098493421e-04
3.311705933e+02,6.824629381e-04
3.312775269e+02,1.334558707e-03
3.313844299e+02,-1.024493598e-03
3.314913635e+02,-3.532185219e-04
3.315983276e+02,2.605186310e-04
3.317052612e+02,5.290286499e-04
3.318122253e+02,1.698965090e-03
3.319191895e+02,-8.470851753e-05
3.320261536e+02,5.290286499e-04
3.321331482e+02,6.824629381e-04
3.322401428e+02,4.139529192e-04
3.323471069e+02,1.737323706e-03
3.324541016e+02,-6.217285409e-04
3.325610962e+02,6.057458231e-04
3.326681213e+02,8.167179185e-04
3.327751465e+02,2.140088705e-03
3.328821716e+02,3.036720409e-05
3.329892273e+02,1.487992937e-03
3.330962524e+02,7.783593610e-04
3.332033081e+02,3.180564963e-04
