ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
0 9271166 61 479534 16 -1247787 0 0 9032
0 9271145 61 499663 16 -1247605 0 0 9037
0 9271133 61 519793 16 -1247423 0 0 9037
0 9271156 61 539922 16 -1247242 0 0 9032
0 9271137 61 560051 16 -1247060 0 0 9032
0 9271144 61 580180 16 -1246878 0 0 9032
0 9271156 61 600308 16 -1246696 0 0 9032
0 9271147 61 620438 16 -1246514 0 0 9037
0 9271148 61 640567 16 -1246332 0 0 9037
0 9271163 61 660696 16 -1246151 0 0 9032
0 9271176 61 680824 16 -1245969 0 0 9032
0 9271189 61 700953 16 -1245787 0 0 9032
0 9271206 61 721083 16 -1245605 0 0 9032
0 9271211 61 741212 16 -1245423 0 0 9037
0 9271223 61 761340 16 -1245242 0 0 9032
0 9271240 61 781472 16 -1245060 0 0 9032
0 9271232 61 801601 16 -1244878 0 0 9032
0 9271240 61 821730 16 -1244696 0 0 9032
0 9271247 61 841858 16 -1244514 0 0 9032
0 9271249 61 861985 16 -1244332 0 0 9037
0 9271244 61 882116 16 -1244151 0 0 9032
0 9271243 61 902245 16 -1243969 0 0 9032
0 9271237 61 922373 16 -1243787 0 0 9032
0 9271225 61 942504 16 -1243605 0 0 9032
0 9271222 61 962630 16 -1243423 0 0 9037
0 9271215 61 982759 16 -1243241 0 0 9037
0 9271200 62 2888 16 -1243060 0 0 9032
0 9271190 62 23018 16 -1242878 0 0 9032
0 9271189 62 43147 16 -1242696 0 0 9032
0 9271197 62 63276 16 -1242514 0 0 9032
0 9271168 62 83403 16 -1242332 0 0 9037
0 9271165 62 103533 16 -1242150 0 0 9037
0 9271172 62 123663 16 -1241969 0 0 9032
0 9271162 62 143792 16 -1241787 0 0 9032
0 9271158 62 163921 16 -1241605 0 0 9032
0 9271171 62 184050 16 -1241423 0 0 9032
0 9271170 62 204178 16 -1241241 0 0 9037
0 9271159 62 224308 16 -1241059 0 0 9037
0 9271144 62 244436 16 -1240878 0 0 9032
0 9271142 62 264565 16 -1240696 0 0 9032
0 9271140 62 284695 16 -1240514 0 0 9032
0 9271138 62 304824 16 -1240332 0 0 9032
0 9271139 62 324953 16 -1240150 0 0 9037
0 9271138 62 345082 16 -1239968 0 0 9037
0 9271146 62 365209 16 -1239787 0 0 9032
0 9271138 62 385339 16 -1239605 0 0 9032
0 9271146 62 405468 16 -1239423 0 0 9032
0 9271138 62 425597 16 -1239241 0 0 9032
0 9271131 62 445727 16 -1239059 0 0 9037
0 9271126 62 465856 16 -1238877 0 0 9037
0 9271128 62 485983 16 -1238696 0 0 9032
0 9271137 62 506114 16 -1238514 0 0 9032
0 9271127 62 526242 16 -1238332 0 0 9032
0 9271125 62 546371 16 -1238150 0 0 9032
0 9271113 62 566500 16 -1237968 0 0 9037
0 9271129 62 586632 16 -1237787 0 0 9032
0 9271111 62 606761 16 -1237605 0 0 9032
0 9271113 62 626889 16 -1237423 0 0 9032
0 9271115 62 647019 16 -1237241 0 0 9032
0 9271119 62 667148 16 -1237059 0 0 9032
0 9271113 62 687277 16 -1236877 0 0 9037
0 9271117 62 707404 16 -1236696 0 0 9032
0 9271105 62 727534 16 -1236514 0 0 9032
0 9271111 62 747664 16 -1236332 0 0 9032
0 9271107 62 767792 16 -1236150 0 0 9032
0 9271104 62 787920 16 -1235968 0 0 9037
0 9271101 62 808049 16 -1235786 0 0 9037
0 9271117 62 828178 16 -1235605 0 0 9032
0 9271112 62 848306 16 -1235423 0 0 9032
0 9271115 62 868435 16 -1235241 0 0 9032
0 9271126 62 888565 16 -1235059 0 0 9032
0 9271107 62 908694 16 -1234877 0 0 9037
0 9271103 62 928823 16 -1234695 0 0 9037
0 9271104 62 948951 16 -1234514 0 0 9032
0 9271104 62 969080 16 -1234332 0 0 9032
0 9271109 62 989209 16 -1234150 0 0 9032
0 9271103 63 9338 16 -1233968 0 0 9032
0 9271108 63 29467 16 -1233786 0 0 9037
0 9271103 63 49597 16 -1233604 0 0 9037
0 9271106 63 69727 16 -1233423 0 0 9032
0 9271113 63 89855 16 -1233241 0 0 9032
0 9271106 63 109983 16 -1233059 0 0 9032
0 9271106 63 130112 16 -1232877 0 0 9032
0 9271104 63 150242 16 -1232695 0 0 9037
0 9271108 63 170372 16 -1232513 0 0 9037
0 9271125 63 190500 16 -1232332 0 0 9032
0 9271114 63 210629 16 -1232150 0 0 9032
0 9271114 63 230756 16 -1231968 0 0 9032
0 9271117 63 250886 16 -1231786 0 0 9032
0 9271118 63 271015 16 -1231604 0 0 9037
0 9271119 63 291145 16 -1231422 0 0 9037
0 9271121 63 311273 16 -1231241 0 0 9032
0 9271120 63 331403 16 -1231059 0 0 9032
0 9271111 63 351532 16 -1230877 0 0 9032
0 9271113 63 371660 16 -1230695 0 0 9032
0 9271115 63 391791 16 -1230513 0 0 9037
0 9271113 63 411920 16 -1230331 0 0 9037
0 9271119 63 432050 16 -1230150 0 0 9032
0 9271117 63 452177 16 -1229968 0 0 9032
0 9271112 63 472308 16 -1229786 0 0 9032
0 9271102 63 492435 16 -1229604 0 0 9032
0 9271111 63 512563 16 -1229422 0 0 9037
0 9271108 63 532694 16 -1229241 0 0 9032
0 9271109 63 552824 16 -1229059 0 0 9032
0 9271106 63 572951 16 -1228877 0 0 9032
0 9271113 63 593080 16 -1228695 0 0 9032
0 9271117 63 613209 16 -1228513 0 0 9032
0 9271110 63 633337 16 -1228331 0 0 9037
0 9271116 63 653466 16 -1228150 0 0 9032
0 9271125 63 673596 16 -1227968 0 0 9032
0 9271118 63 693725 16 -1227786 0 0 9032
0 9271115 63 713854 16 -1227604 0 0 9032
0 9271112 63 733982 16 -1227422 0 0 9037
0 9271118 63 754111 16 -1227240 0 0 9037
0 9271115 63 774240 16 -1227059 0 0 9032
0 9271123 63 794370 16 -1226877 0 0 9032
0 9271115 63 814499 16 -1226695 0 0 9032
0 9271120 63 834627 16 -1226513 0 0 9032
0 9271114 63 854756 16 -1226331 0 0 9037
0 9271115 63 874885 16 -1226149 0 0 9037
0 9271121 63 895014 16 -1225968 0 0 9032
0 9271113 63 915144 16 -1225786 0 0 9032
0 9271118 63 935273 16 -1225604 0 0 9032
0 9271108 63 955401 16 -1225422 0 0 9032
0 9271113 63 975530 16 -1225240 0 0 9037
0 9271111 63 995659 16 -1225058 0 0 9037
0 9271109 64 15789 16 -1224877 0 0 9032
0 9271117 64 35918 16 -1224695 0 0 9032
0 9271112 64 56045 16 -1224513 0 0 9032
0 9271114 64 76176 16 -1224331 0 0 9032
0 9271127 64 96305 16 -1224149 0 0 9037
0 9271141 64 116433 16 -1223967 0 0 9037
0 9271160 64 136563 16 -1223786 0 0 9032
0 9271191 64 156693 16 -1223604 0 0 9032
0 9271208 64 176822 16 -1223422 0 0 9032
0 9271216 64 196952 16 -1223240 0 0 9032
0 9271193 64 217080 16 -1223058 0 0 9037
0 9271134 64 237209 16 -1222876 0 0 9037
0 9271101 64 257339 16 -1222695 0 0 9032
0 9271098 64 277468 16 -1222513 0 0 9032
0 9271124 64 297595 16 -1222331 0 0 9032
0 9271165 64 317725 16 -1222149 0 0 9032
0 9271187 64 337854 16 -1221967 0 0 9037
0 9271192 64 357981 16 -1221786 0 0 9032
0 9271189 64 378112 16 -1221604 0 0 9032
0 9271183 64 398240 16 -1221422 0 0 9032
0 9271191 64 418369 16 -1221240 0 0 9032
0 9271194 64 438498 16 -1221058 0 0 9032
0 9271186 64 458626 16 -1220876 0 0 9037
0 9271180 64 478756 16 -1220695 0 0 9032
0 9271172 64 498885 16 -1220513 0 0 9032
0 9271160 64 519014 16 -1220331 0 0 9032
0 9271156 64 539143 16 -1220149 0 0 9032
0 9271154 64 559272 16 -1219967 0 0 9037
