ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
0 8415905 816 681484 16 -1225604 0 0 9032
0 8415941 816 701611 16 -1225422 0 0 9037
0 8416014 816 721740 16 -1225241 0 0 9032
0 8416054 816 741869 16 -1225059 0 0 9032
0 8416258 816 761998 16 -1224877 0 0 9032
0 8416518 816 782127 16 -1224695 0 0 9032
0 8416387 816 802256 16 -1224513 0 0 9032
0 8416038 816 822385 16 -1224331 0 0 9037
0 8415440 816 842514 16 -1224150 0 0 9032
0 8414750 816 862645 16 -1223968 0 0 9032
0 8414175 816 882772 16 -1223786 0 0 9032
0 8413897 816 902903 16 -1223604 0 0 9032
0 8414298 816 923031 16 -1223422 0 0 9037
0 8415215 816 943160 16 -1223240 0 0 9037
0 8416405 816 963289 16 -1223059 0 0 9032
0 8417216 816 983418 16 -1222877 0 0 9032
0 8416941 817 3547 16 -1222695 0 0 9032
0 8415541 817 23676 16 -1222513 0 0 9032
0 8414218 817 43806 16 -1222331 0 0 9037
0 8413969 817 63935 16 -1222149 0 0 9037
0 8414539 817 84064 16 -1221968 0 0 9032
0 8415031 817 104193 16 -1221786 0 0 9032
0 8415313 817 124321 16 -1221604 0 0 9032
0 8415562 817 144450 16 -1221422 0 0 9032
0 8415809 817 164579 16 -1221240 0 0 9037
0 8416255 817 184708 16 -1221058 0 0 9037
0 8416606 817 204836 16 -1220877 0 0 9032
0 8416794 817 224965 16 -1220695 0 0 9032
0 8417069 817 245094 16 -1220513 0 0 9032
0 8417234 817 265223 16 -1220331 0 0 9032
0 8417286 817 285352 16 -1220149 0 0 9037
0 8417231 817 305485 16 -1219967 0 0 9037
0 8417090 817 325614 16 -1219786 0 0 9032
0 8416825 817 345743 16 -1219604 0 0 9032
0 8416446 817 365870 16 -1219422 0 0 9032
0 8416148 817 386003 16 -1219240 0 0 9031
0 8415703 817 406127 16 -1219058 0 0 9037
0 8415202 817 426258 16 -1218876 0 0 9037
0 8414813 817 446387 16 -1218695 0 0 9032
0 8414411 817 466514 16 -1218513 0 0 9032
0 8414128 817 486645 16 -1218331 0 0 9032
0 8413987 817 506772 16 -1218149 0 0 9032
0 8413901 817 526901 16 -1217967 0 0 9037
0 8413916 817 547029 16 -1217786 0 0 9032
0 8414014 817 567159 16 -1217604 0 0 9032
0 8414261 817 587288 16 -1217422 0 0 9032
0 8414543 817 607416 16 -1217240 0 0 9032
0 8414873 817 627545 16 -1217058 0 0 9032
0 8415313 817 647674 16 -1216876 0 0 9037
0 8415613 817 667803 16 -1216695 0 0 9032
0 8416010 817 687932 16 -1216513 0 0 9032
0 8416366 817 708061 16 -1216331 0 0 9032
0 8416587 817 728190 16 -1216149 0 0 9032
0 8416876 817 748320 16 -1215967 0 0 9037
0 8417094 817 768449 16 -1215785 0 0 9037
0 8417188 817 788578 16 -1215604 0 0 9032
0 8417265 817 808706 16 -1215422 0 0 9032
0 8417232 817 828835 16 -1215240 0 0 9032
0 8417137 817 848966 16 -1215058 0 0 9032
0 8416896 817 869094 16 -1214876 0 0 9037
0 8416603 817 889223 16 -1214694 0 0 9037
0 8416326 817 909352 16 -1214513 0 0 9032
0 8415965 817 929481 16 -1214331 0 0 9032
0 8415625 817 949610 16 -1214149 0 0 9032
0 8415293 817 969739 16 -1213967 0 0 9032
0 8414883 817 989868 16 -1213785 0 0 9037
0 8414594 818 9996 16 -1213603 0 0 9037
0 8414374 818 30127 16 -1213422 0 0 9032
0 8414163 818 50256 16 -1213240 0 0 9032
0 8414079 818 70384 16 -1213058 0 0 9032
0 8413956 818 90513 16 -1212876 0 0 9032
0 8413913 818 110644 16 -1212694 0 0 9037
0 8413936 818 130773 16 -1212512 0 0 9037
0 8414031 818 150903 16 -1212331 0 0 9032
0 8414126 818 171031 16 -1212149 0 0 9032
0 8414253 818 191158 16 -1211967 0 0 9032
0 8414510 818 211287 16 -1211785 0 0 9032
0 8414730 818 231418 16 -1211603 0 0 9037
0 8414953 818 251545 16 -1211422 0 0 9032
0 8415250 818 271674 16 -1211240 0 0 9032
0 8415491 818 291804 16 -1211058 0 0 9032
0 8415826 818 311931 16 -1210876 0 0 9032
0 8416148 818 332060 16 -1210694 0 0 9032
0 8416338 818 352189 16 -1210512 0 0 9037
0 8416599 818 372318 16 -1210331 0 0 9032
0 8416842 818 392449 16 -1210149 0 0 9032
0 8416960 818 412578 16 -1209967 0 0 9032
0 8417124 818 432705 16 -1209785 0 0 9032
0 8417211 818 452836 16 -1209603 0 0 9037
0 8417239 818 472965 16 -1209421 0 0 9037
0 8417237 818 493093 16 -1209240 0 0 9032
0 8417201 818 513222 16 -1209058 0 0 9032
0 8417142 818 533352 16 -1208876 0 0 9032
0 8416999 818 553480 16 -1208694 0 0 9032
0 8416876 818 573609 16 -1208512 0 0 9037
0 8416709 818 593738 16 -1208330 0 0 9037
0 8416458 818 613868 16 -1208149 0 0 9032
0 8416308 818 633995 16 -1207967 0 0 9032
0 8416000 818 654127 16 -1207785 0 0 9032
0 8415731 818 674256 16 -1207603 0 0 9032
0 8415652 818 694385 16 -1207421 0 0 9037
0 8415415 818 714513 16 -1207239 0 0 9037
0 8415177 818 734642 16 -1207058 0 0 9032
0 8415044 818 754771 16 -1206876 0 0 9032
0 8414785 818 774900 16 -1206694 0 0 9032
0 8414557 818 795028 16 -1206512 0 0 9032
0 8414404 818 815157 16 -1206330 0 0 9037
0 8414239 818 835286 16 -1206148 0 0 9037
0 8414159 818 855415 16 -1205967 0 0 9032
0 8414065 818 875544 16 -1205785 0 0 9032
0 8413974 818 895672 16 -1205603 0 0 9032
0 8413945 818 915801 16 -1205421 0 0 9032
0 8413935 818 935933 16 -1205239 0 0 9037
0 8413964 818 956062 16 -1205057 0 0 9037
0 8413982 818 976191 16 -1204876 0 0 9032
0 8414078 818 996318 16 -1204694 0 0 9032
0 8414235 819 16449 16 -1204512 0 0 9032
0 8414300 819 36578 16 -1204330 0 0 9032
0 8414443 819 56704 16 -1204148 0 0 9037
0 8414584 819 76835 16 -1203966 0 0 9037
0 8414706 819 96966 16 -1203785 0 0 9032
0 8414913 819 117091 16 -1203603 0 0 9032
0 8415067 819 137220 16 -1203421 0 0 9032
0 8415168 819 157349 16 -1203239 0 0 9032
0 8415403 819 177480 16 -1203057 0 0 9037
0 8415553 819 197609 16 -1202876 0 0 9032
0 8415737 819 217736 16 -1202694 0 0 9032
0 8415956 819 237867 16 -1202512 0 0 9032
0 8416103 819 257996 16 -1202330 0 0 9032
0 8416354 819 278124 16 -1202148 0 0 9032
0 8416526 819 298253 16 -1201966 0 0 9037
0 8416570 819 318383 16 -1201785 0 0 9032
0 8416710 819 338512 16 -1201603 0 0 9032
0 8416889 819 358641 16 -1201421 0 0 9032
0 8416951 819 378770 16 -1201239 0 0 9032
0 8417064 819 398899 16 -1201057 0 0 9037
0 8417117 819 419028 16 -1200875 0 0 9037
0 8417146 819 439157 16 -1200694 0 0 9032
0 8417195 819 459287 16 -1200512 0 0 9032
0 8417209 819 479416 16 -1200330 0 0 9032
0 8417211 819 499545 16 -1200148 0 0 9032
0 8417185 819 519672 16 -1199966 0 0 9037
0 8417165 819 539801 16 -1199784 0 0 9037
0 8417100 819 559932 16 -1199603 0 0 9032
0 8416994 819 580061 16 -1199421 0 0 9032
0 8416916 819 600188 16 -1199239 0 0 9032
0 8416752 819 620317 16 -1199057 0 0 9032
0 8416589 819 640445 16 -1198875 0 0 9037
0 8416530 819 660574 16 -1198693 0 0 9037
0 8416349 819 680703 16 -1198512 0 0 9032
0 8416194 819 700832 16 -1198330 0 0 9032
0 8416079 819 720961 16 -1198148 0 0 9032
0 8415874 819 741092 16 -1197966 0 0 9032
0 8415773 819 761221 16 -1197784 0 0 9037
0 8415646 819 781352 16 -1197602 0 0 9037
0 8415394 819 801480 16 -1197421 0 0 9032
0 8415195 819 821608 16 -1197239 0 0 9032
0 8415036 819 841736 16 -1197057 0 0 9032
0 8414902 819 861865 16 -1196875 0 0 9032
0 8414857 819 881996 16 -1196693 0 0 9037
0 8414668 819 902123 16 -1196511 0 0 9037
0 8414462 819 922254 16 -1196330 0 0 9032
0 8414446 819 942381 16 -1196148 0 0 9032
0 8414269 819 962510 16 -1195966 0 0 9032
0 8414166 819 982639 16 -1195784 0 0 9032
0 8414118 820 2768 16 -1195602 0 0 9037
0 8414040 820 22897 16 -1195421 0 0 9032
0 8414007 820 43026 16 -1195239 0 0 9032
0 8413996 820 63155 16 -1195057 0 0 9032
0 8413975 820 83284 16 -1194875 0 0 9032
0 8413965 820 103413 16 -1194693 0 0 9032
0 8413982 820 123542 16 -1194511 0 0 9037
0 8414024 820 143670 16 -1194330 0 0 9032
0 8414030 820 163799 16 -1194148 0 0 9032
0 8414074 820 183928 16 -1193966 0 0 9032
0 8414163 820 204057 16 -1193784 0 0 9032
0 8414196 820 224188 16 -1193602 0 0 9037
0 8414318 820 244317 16 -1193420 0 0 9037
0 8414435 820 264447 16 -1193239 0 0 9032
0 8414468 820 284573 16 -1193057 0 0 9032
0 8414614 820 304703 16 -1192875 0 0 9032
0 8414714 820 324832 16 -1192693 0 0 9032
0 8414798 820 344961 16 -1192511 0 0 9037
0 8414987 820 365092 16 -1192329 0 0 9037
0 8415109 820 385219 16 -1192148 0 0 9032
0 8415211 820 405349 16 -1191966 0 0 9032
0 8415376 820 425478 16 -1191784 0 0 9032
0 8415405 820 445606 16 -1191602 0 0 9032
0 8415548 820 465735 16 -1191420 0 0 9037
0 8415745 820 485864 16 -1191238 0 0 9037
0 8415792 820 505993 16 -1191057 0 0 9032
0 8415942 820 526122 16 -1190875 0 0 9032
0 8416004 820 546253 16 -1190693 0 0 9032
0 8416038 820 566383 16 -1190511 0 0 9032
0 8416255 820 586512 16 -1190329 0 0 9037
0 8416377 820 606641 16 -1190147 0 0 9037
0 8416407 820 626769 16 -1189966 0 0 9032
0 8416587 820 646896 16 -1189784 0 0 9032
0 8416702 820 667027 16 -1189602 0 0 9032
0 8416764 820 687156 16 -1189420 0 0 9032
0 8416888 820 707283 16 -1189238 0 0 9037
0 8416951 820 727415 16 -1189056 0 0 9037
0 8417014 820 747542 16 -1188875 0 0 9032
0 8417091 820 767669 16 -1188693 0 0 9032
0 8417114 820 787798 16 -1188511 0 0 9032
0 8417151 820 807927 16 -1188329 0 0 9032
0 8417168 820 828056 16 -1188147 0 0 9037
0 8417166 820 848185 16 -1187966 0 0 9032
0 8417170 820 868314 16 -1187784 0 0 9032
0 8417169 820 888443 16 -1187602 0 0 9032
0 8417155 820 908572 16 -1187420 0 0 9032
0 8417116 820 928701 16 -1187238 0 0 9032
0 8417083 820 948830 16 -1187056 0 0 9037
0 8417054 820 968960 16 -1186875 0 0 9032
0 8416971 820 989089 16 -1186693 0 0 9032
0 8416916 821 9218 16 -1186511 0 0 9032
0 8416843 821 29347 16 -1186329 0 0 9032
0 8416716 821 49476 16 -1186147 0 0 9037
0 8416660 821 69605 16 -1185965 0 0 9037
0 8416566 821 89735 16 -1185784 0 0 9032
0 8416460 821 109863 16 -1185602 0 0 9032
0 8416469 821 129992 16 -1185420 0 0 9032
0 8416289 821 150121 16 -1185238 0 0 9032
0 8416121 821 170250 16 -1185056 0 0 9037
0 8416096 821 190379 16 -1184874 0 0 9037
0 8415950 821 210508 16 -1184693 0 0 9032
0 8415838 821 230637 16 -1184511 0 0 9032
0 8415776 821 250766 16 -1184329 0 0 9032
0 8415564 821 270895 16 -1184147 0 0 9032
0 8415478 821 291024 16 -1183965 0 0 9037
0 8415429 821 311152 16 -1183783 0 0 9037
0 8415264 821 331281 16 -1183602 0 0 9032
0 8415198 821 351410 16 -1183420 0 0 9032
0 8415068 821 371542 16 -1183238 0 0 9032
